1|1|43,56|69,77	1
55|55|38,44|149,166	0
57|57|102,107|96,101	0
96|96|114,123|70,77	0
97|97|50,60|29,37	0
153|153|51,54|100,105	0
155|155|11,25|71,77	1
182|182|234,244|274,283	1
185|185|79,85|170,174	1
190|190|0,6|15,23	1
193|193|11,13|110,119	0
194|194|0,10|21,28	1
198|198|12,33|178,184	0
200|200|0,5|17,22	1
223|223|22,35|5,21	1
231|231|117,137|205,219	1
242|242|17,19|31,48	1
245|245|59,72|35,58	0
248|248|27,39|12,15	0
250|250|24,26|186,192	1
260|260|115,121|53,61	0
271|271|159,162|30,47	1
275|275|47,62|87,97	1
295|295|79,85|141,147	0
315|315|59,70|85,93	1
343|343|173,195|138,147	0
351|351|100,113|57,68	0
353|353|293,304|283,292	1
357|357|26,37|121,129	0
361|361|26,37|86,95	0
362|362|33,54|0,9	0
384|384|20,30|85,102	1
429|429|91,94|23,46	1
438|438|31,39|188,205	0
443|443|80,85|74,79	1
476|476|0,2|35,43	0
544|544|0,16|213,220	0
551|551|165,176|191,200	1
560|560|73,77|5,9	0
564|564|142,155|168,176	1
577|577|0,21|28,33	1
604|604|65,67|30,36	0
605|605|44,47|66,75	1
618|618|3,5|35,41	1
635|635|63,66|25,30	1
645|645|193,215|37,45	0
659|659|0,2|43,51	0
676|676|99,104|123,128	0
678|678|0,10|72,80	1
681|681|162,165|10,14	0
682|682|92,95|22,27	0
685|685|187,209|94,98	1
692|692|0,2|83,89	0
693|693|124,138|119,123	1
712|712|29,44|67,71	1
715|715|0,17|38,51	0
803|803|0,8|46,53	0
823|823|9,11|225,232	0
825|825|12,14|56,62	0
839|839|23,44|52,61	0
853|853|25,43|16,24	1
861|861|0,17|38,51	1
875|875|12,14|56,62	0
885|885|30,49|19,29	1
896|896|3,19|42,48	1
926|926|97,107|36,55	1
934|934|25,40|17,24	1
940|940|59,80|26,35	1
998|998|0,15|20,30	1
1000|1000|145,156|135,144	1
1010|1010|55,70|79,85	1
1013|1013|200,203|213,220	0
1017|1017|0,8|206,213	0
1037|1037|0,11|43,55	1
1065|1065|57,70|49,56	1
1079|1079|104,122|93,103	1
1106|1106|29,35|47,53	0
1125|1125|39,49|64,82	1
1157|1157|0,8|41,49	1
1167|1167|35,57|19,25	1
1174|1174|18,21|44,63	1
1181|1181|33,43|25,32	1
1182|1182|77,82|86,94	0
1229|1229|122,125|36,41	0
1232|1232|16,28|6,15	1
1234|1234|29,43|145,154	0
1248|1248|39,48|153,162	0
1262|1262|183,195|173,182	1
1265|1265|22,35|100,108	0
1273|1273|167,178|127,136	1
1275|1275|0,8|68,72	0
1281|1281|73,82|131,141	0
1283|1283|36,55|29,35	1
1285|1285|30,45|19,24	0
1299|1299|33,36|7,15	0
1317|1317|24,37|50,58	1
1321|1321|43,49|187,197	1
1351|1351|195,205|18,26	0
1356|1356|62,67|93,99	0
1367|1367|22,25|100,112	0
1389|1389|88,99|72,87	1
1392|1392|40,51|31,39	1
